Thumb;Name;Purchase After Return;SKU;URL;Brand;Country;Revenue;Lost profit;Sales;Price with WB wallet;Comments Valuation;Comments;Days in website;First Date
https://basket-27.wbbasket.ru/vol5074/part507423/507423407/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;507423407;https://www.wildberries.ru/catalog/507423407/detail.aspx;;Китай;1014520;1083301,02;194;5524;5;56;111;11.09.2025
https://basket-14.wbbasket.ru/vol2172/part217297/217297586/images/c246x328/1.webp;Проектор для фильмов на стену мини домашний T2 MAX NEW;73;217297586;https://www.wildberries.ru/catalog/217297586/detail.aspx;Wanbo;Китай;1011250;8357,44;70;13571;4,6;270;642;29.03.2024
https://basket-25.wbbasket.ru/vol4557/part455736/455736725/images/c246x328/1.webp;Домашний проектор для фильмов и игр с джойстиками;73;455736725;https://www.wildberries.ru/catalog/455736725/detail.aspx;ORAVA;Китай;1003496;109472,29;159;6526;4,7;340;181;03.07.2025
https://basket-25.wbbasket.ru/vol4551/part455126/455126458/images/c246x328/1.webp;Проектор для фильмов с аккумулятором;73;455126458;https://www.wildberries.ru/catalog/455126458/detail.aspx;MiniWonder;;1000699;8270,24;82;12150;4,7;208;156;28.07.2025
https://basket-30.wbbasket.ru/vol6057/part605746/605746447/images/c246x328/1.webp;Проектор для фильмов;73;605746447;https://www.wildberries.ru/catalog/605746447/detail.aspx;;Китай;1000437;4306228,83;75;12612;4,8;2220;52;09.11.2025
https://basket-30.wbbasket.ru/vol6120/part612032/612032131/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;612032131;https://www.wildberries.ru/catalog/612032131/detail.aspx;;;997869;3511020,56;222;4379;4,9;27;43;18.11.2025
https://basket-19.wbbasket.ru/vol3249/part324907/324907480/images/c246x328/1.webp;Проектор для фильмов с телефона на стенур Android Wi-Fi;73;324907480;https://www.wildberries.ru/catalog/324907480/detail.aspx;;Китай;997532;846390,79;342;2880;4,3;94;329;05.02.2025
https://basket-29.wbbasket.ru/vol5745/part574550/574550912/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр 4К Wi-Fi;73;574550912;https://www.wildberries.ru/catalog/574550912/detail.aspx;;Китай;994991;1339410,96;111;8188;5;5;62;30.10.2025
https://basket-30.wbbasket.ru/vol6011/part601113/601113102/images/c246x328/1.webp;Проектор Aimoto SmartPlay черный;73;601113102;https://www.wildberries.ru/catalog/601113102/detail.aspx;AIMOTO;;993015;2914979,52;166;6321;4,9;45;38;23.11.2025
https://basket-12.wbbasket.ru/vol1814/part181415/181415986/images/c246x328/1.webp;Ночник проектор Северное сияние;84;181415986;https://www.wildberries.ru/catalog/181415986/detail.aspx;Sunway;Китай;989165;322553,8;575;1706;4,8;541;785;07.11.2023
https://basket-30.wbbasket.ru/vol5940/part594017/594017662/images/c246x328/1.webp;Домашний проектор для фильмов;73;594017662;https://www.wildberries.ru/catalog/594017662/detail.aspx;;Китай;987600;6542850;222;4307;4,9;330;25;06.12.2025
https://basket-31.wbbasket.ru/vol6246/part624687/624687010/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;624687010;https://www.wildberries.ru/catalog/624687010/detail.aspx;;Китай;985085;2891701,13;107;8715;5;7;31;30.11.2025
https://basket-26.wbbasket.ru/vol4823/part482385/482385965/images/c246x328/1.webp;Проектор для фильмов с телефона 4K автофокус;73;482385965;https://www.wildberries.ru/catalog/482385965/detail.aspx;BEST TIME;Китай;959916;0;135;6954;4,6;28;130;23.08.2025
https://basket-28.wbbasket.ru/vol5450/part545064/545064399/images/c246x328/1.webp;Проектор для фильмов;73;545064399;https://www.wildberries.ru/catalog/545064399/detail.aspx;LokeStar;Китай;956799;484305,67;165;5504;4,9;57;93;29.09.2025
https://basket-33.wbbasket.ru/vol7037/part703791/703791321/images/c246x328/1.webp;Проектор для фильмов;73;703791321;https://www.wildberries.ru/catalog/703791321/detail.aspx;;Китай;956442;8767385;277;3374;4,8;143;15;16.12.2025
https://basket-14.wbbasket.ru/vol2172/part217299/217299616/images/c246x328/1.webp;Проектор для фильмов портативный Wanbo T2 Max NEW автофокус;73;217299616;https://www.wildberries.ru/catalog/217299616/detail.aspx;Wanbo;Китай;947726;49020,31;68;13201;4,6;270;641;30.03.2024
https://basket-21.wbbasket.ru/vol3665/part366590/366590838/images/c246x328/1.webp;Проектор Smart Projector L1 Pro EU;73;366590838;https://www.wildberries.ru/catalog/366590838/detail.aspx;Xiaomi;Китай;945384;3031748,69;37;24850;4,6;5;277;29.03.2025
https://basket-30.wbbasket.ru/vol6055/part605539/605539398/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;605539398;https://www.wildberries.ru/catalog/605539398/detail.aspx;;Китай;944823;1507696,28;110;6662;4,8;24;46;15.11.2025
https://basket-06.wbbasket.ru/vol1043/part104398/104398916/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;104398916;https://www.wildberries.ru/catalog/104398916/detail.aspx;YALY;Китай;941944;1311333,8;200;4494;4,7;6341;1185;03.10.2022
https://basket-19.wbbasket.ru/vol3141/part314176/314176774/images/c246x328/1.webp;Голографический проектор-вентилятор HoloVortex 3D;73;314176774;https://www.wildberries.ru/catalog/314176774/detail.aspx;MICON;;937720;74685,66;275;3480;4,5;36;349;16.01.2025
https://basket-22.wbbasket.ru/vol3754/part375410/375410604/images/c246x328/1.webp;Проектор для фильмов Android 11, поддержка 4К;73;375410604;https://www.wildberries.ru/catalog/375410604/detail.aspx;ISPshop;Китай;934646;228892,9;105;7954;4,7;32;276;30.03.2025
https://basket-27.wbbasket.ru/vol5061/part506117/506117702/images/c246x328/1.webp;Проектор с джойстиками;73;506117702;https://www.wildberries.ru/catalog/506117702/detail.aspx;;;922864;287774,8;154;6841;4,5;49;115;07.09.2025
https://basket-27.wbbasket.ru/vol5008/part500868/500868451/images/c246x328/1.webp;Проектор для фильмов Luckyroad HY 260 pro домашний кинотеатр;73;500868451;https://www.wildberries.ru/catalog/500868451/detail.aspx;MARLENA;Китай;920387;537888,51;156;6440;4,8;45;122;31.08.2025
https://basket-12.wbbasket.ru/vol1868/part186884/186884365/images/c246x328/1.webp;Проектор для фильмов R20, домашний кинотеатр с телефона;73;186884365;https://www.wildberries.ru/catalog/186884365/detail.aspx;BYINTEK;Китай;911203;0;24;39246;4,8;518;790;02.11.2023
https://basket-16.wbbasket.ru/vol2486/part248691/248691136/images/c246x328/1.webp;Проектор для фильмов Luckyroad X9 домашний кинотеатр;73;248691136;https://www.wildberries.ru/catalog/248691136/detail.aspx;MARLENA;Китай;890480;780882,46;167;5289;4,7;76;511;07.08.2024
https://basket-34.wbbasket.ru/vol7062/part706263/706263368/images/c246x328/1.webp;Проектор для фильмов;73;706263368;https://www.wildberries.ru/catalog/706263368/detail.aspx;iProjector;;885286;6829349,14;65;13313;4,8;1770;13;18.12.2025
https://basket-14.wbbasket.ru/vol2178/part217848/217848167/images/c246x328/1.webp;Проектор для фильмов;73;217848167;https://www.wildberries.ru/catalog/217848167/detail.aspx;iSmart;Китай;879496;29813,42;144;6145;4,8;6040;653;18.03.2024
https://basket-26.wbbasket.ru/vol4635/part463510/463510148/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;463510148;https://www.wildberries.ru/catalog/463510148/detail.aspx;;Китай;873330;22016,72;232;4029;4,5;39;155;29.07.2025
https://basket-27.wbbasket.ru/vol4915/part491570/491570750/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;491570750;https://www.wildberries.ru/catalog/491570750/detail.aspx;Roku Electronics;Китай;872474;409957,66;205;4321;4,8;62;103;19.09.2025
https://basket-24.wbbasket.ru/vol4152/part415259/415259686/images/c246x328/1.webp;Домашний кинотеатр проектор для фильмов 4K UltraHD;73;415259686;https://www.wildberries.ru/catalog/415259686/detail.aspx;TommiliKZ;Китай;871012;53018,12;238;7203;4,6;93;223;22.05.2025
https://basket-19.wbbasket.ru/vol3104/part310432/310432439/images/c246x328/1.webp;Проектор Touyinger Q11 W Android 12 светодиодный;73;310432439;https://www.wildberries.ru/catalog/310432439/detail.aspx;Touyinger;Китай;865753;348291,44;40;23360;4,8;32;331;03.02.2025
https://basket-17.wbbasket.ru/vol2655/part265561/265561820/images/c246x328/1.webp;Проектор для фильмов X1PRO+ Топовая начинка.;73;265561820;https://www.wildberries.ru/catalog/265561820/detail.aspx;Jin tu;Китай;865344;1987952,43;174;4968;4,9;54;448;09.10.2024
https://basket-31.wbbasket.ru/vol6275/part627525/627525767/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;627525767;https://www.wildberries.ru/catalog/627525767/detail.aspx;Lieblich Hause (Haz);Китай;863895;2235963,53;215;3885;4,6;22;34;27.11.2025
https://basket-14.wbbasket.ru/vol2137/part213786/213786810/images/c246x328/1.webp;Проектор Everycom Q10W MAX 1080p 3 64Gb Android 12.0;73;213786810;https://www.wildberries.ru/catalog/213786810/detail.aspx;QUINCE;Китай;858206;210172,9;41;23637;4,8;19;659;12.03.2024
https://basket-16.wbbasket.ru/vol2470/part247001/247001959/images/c246x328/1.webp;Проектор для фильмов оригинал DaVinci 1;73;247001959;https://www.wildberries.ru/catalog/247001959/detail.aspx;Wanbo;Китай;851141;0;52;15315;4,6;270;510;08.08.2024
https://basket-29.wbbasket.ru/vol5800/part580013/580013933/images/c246x328/1.webp;Проектор ночник звездное небо;73;580013933;https://www.wildberries.ru/catalog/580013933/detail.aspx;Neolife;Китай;843159;1549059,56;596;1617;5;44;43;18.11.2025
https://basket-31.wbbasket.ru/vol6152/part615226/615226472/images/c246x328/1.webp;Проектор для фильмов домашний;73;615226472;https://www.wildberries.ru/catalog/615226472/detail.aspx;это Судьба!;Китай;836975;2166288,24;183;4492;4,6;29;48;13.11.2025
https://basket-28.wbbasket.ru/vol5304/part530421/530421980/images/c246x328/1.webp;Подарок проектор для фильмов с телефона на стену;73;530421980;https://www.wildberries.ru/catalog/530421980/detail.aspx;;;834935;422621,42;145;5042;4,8;42;109;13.09.2025
https://basket-33.wbbasket.ru/vol7033/part703322/703322749/images/c246x328/1.webp;Проектор для фильмов домашний;73;703322749;https://www.wildberries.ru/catalog/703322749/detail.aspx;это Судьба!;Китай;826435;4774957,78;152;5077;4,6;29;17;14.12.2025
https://basket-28.wbbasket.ru/vol5451/part545103/545103018/images/c246x328/1.webp;Мини проектор мультимедийный для фильмов YG-300;73;545103018;https://www.wildberries.ru/catalog/545103018/detail.aspx;QUINCE;Китай;823976;1569478,1;375;2367;4,5;64;95;27.09.2025
https://basket-30.wbbasket.ru/vol6057/part605785/605785599/images/c246x328/1.webp;Проектор для фильмов домашний кинотеатр;73;605785599;https://www.wildberries.ru/catalog/605785599/detail.aspx;beautiful Raihon;;819302;1307396,81;232;3687;4,4;30;51;10.11.2025
